CircuitName,CircuitGateSize,CircuitFFSize,EncryptionScheme,KeyLength,Fraction,Iteration,Time
c499,202,0,RI,85,0,1,0m0.660s
c499,202,0,RI,90,0,1,0m0.833s
c499,202,0,RI,25,0,1,0m0.071s
c499,202,0,RI,155,0,1,0m4.031s
c499,202,0,RI,50,0,1,0m0.377s
c499,202,0,RI,35,0,1,0m0.262s
c499,202,0,RI,55,0,1,0m0.317s
c499,202,0,RI,120,0,1,0m2.253s
c499,202,0,RI,115,0,1,0m2.406s
c499,202,0,RI,180,0,1,0m8.232s
c499,202,0,RI,95,0,1,0m0.631s
c499,202,0,RI,45,0,1,0m0.956s
c499,202,0,RI,15,0,1,0m0.086s
c499,202,0,RI,80,0,1,0m0.719s
c499,202,0,RI,5,0,1,0m0.042s
c499,202,0,RI,170,0,1,0m2.059s
c499,202,0,RI,165,0,1,0m7.288s
c499,202,0,RI,150,0,1,0m6.337s
c499,202,0,RI,20,0,1,0m0.136s
c499,202,0,RI,125,0,1,0m1.334s
c499,202,0,RI,105,0,1,0m1.795s
c499,202,0,RI,60,0,1,0m0.511s
c499,202,0,RI,75,0,1,0m0.604s
c499,202,0,RI,140,0,1,0m3.023s
c499,202,0,RI,100,0,1,0m2.545s
c499,202,0,RI,190,0,1,0m5.633s
c499,202,0,RI,110,0,1,0m1.321s
c499,202,0,RI,175,0,1,0m5.506s
c499,202,0,RI,70,0,1,0m0.448s
c499,202,0,RI,185,0,1,0m6.120s
c499,202,0,RI,30,0,1,0m0.172s
c499,202,0,RI,160,0,1,0m5.719s
c499,202,0,RI,145,0,1,0m2.923s
c499,202,0,RI,10,0,1,0m0.047s
c499,202,0,RI,130,0,1,0m3.214s
c499,202,0,RI,135,0,1,0m1.801s
c499,202,0,RI,65,0,1,0m0.340s
c499,202,0,RI,195,0,1,0m5.659s
c499,202,0,RI,40,0,1,0m0.214s
c499,202,0,RIF,0,85,1,0m4.293s
c499,202,0,RIF,0,90,1,0m7.766s
c499,202,0,RIF,0,25,1,0m0.284s
c499,202,0,RIF,0,50,1,0m1.494s
c499,202,0,RIF,0,35,1,0m0.698s
c499,202,0,RIF,0,55,1,0m0.993s
c499,202,0,RIF,0,45,1,0m1.608s
c499,202,0,RIF,0,15,1,0m0.171s
c499,202,0,RIF,0,80,1,0m4.423s
c499,202,0,RIF,0,5,1,0m0.053s
c499,202,0,RIF,0,20,1,0m0.209s
c499,202,0,RIF,0,60,1,0m1.644s
c499,202,0,RIF,0,75,1,0m3.139s
c499,202,0,RIF,0,70,1,0m1.425s
c499,202,0,RIF,0,30,1,0m1.072s
c499,202,0,RIF,0,10,1,0m0.098s
c499,202,0,RIF,0,65,1,0m2.175s
c499,202,0,RIF,0,40,1,0m0.416s
c499,202,0,IOLTS,0,85,1,0m0.213s
c499,202,0,IOLTS,0,90,1,0m0.444s
c499,202,0,IOLTS,0,25,1,0m0.089s
c499,202,0,IOLTS,0,50,1,0m0.097s
c499,202,0,IOLTS,0,35,1,0m0.105s
c499,202,0,IOLTS,0,55,1,0m0.118s
c499,202,0,IOLTS,0,45,1,0m0.115s
c499,202,0,IOLTS,0,15,1,0m0.032s
c499,202,0,IOLTS,0,80,1,0m0.895s
c499,202,0,IOLTS,0,5,1,0m0.066s
c499,202,0,IOLTS,0,20,1,0m0.039s
c499,202,0,IOLTS,0,60,1,0m0.147s
c499,202,0,IOLTS,0,75,1,0m0.344s
c499,202,0,IOLTS,0,70,1,0m0.300s
c499,202,0,IOLTS,0,30,1,0m0.099s
c499,202,0,IOLTS,0,10,1,0m0.030s
c499,202,0,IOLTS,0,65,1,0m0.167s
c499,202,0,IOLTS,0,40,1,0m0.099s
c499,202,0,TOC13_XOR,0,85,1,0m2.271s
c499,202,0,TOC13_XOR,0,90,1,0m4.570s
c499,202,0,TOC13_XOR,0,25,1,0m0.337s
c499,202,0,TOC13_XOR,0,50,1,0m0.728s
c499,202,0,TOC13_XOR,0,35,1,0m0.767s
c499,202,0,TOC13_XOR,0,55,1,0m1.136s
c499,202,0,TOC13_XOR,0,45,1,0m0.872s
c499,202,0,TOC13_XOR,0,15,1,0m0.119s
c499,202,0,TOC13_XOR,0,80,1,0m1.191s
c499,202,0,TOC13_XOR,0,5,1,0m0.145s
c499,202,0,TOC13_XOR,0,20,1,0m0.194s
c499,202,0,TOC13_XOR,0,60,1,0m0.585s
c499,202,0,TOC13_XOR,0,75,1,0m1.458s
c499,202,0,TOC13_XOR,0,70,1,0m1.811s
c499,202,0,TOC13_XOR,0,30,1,0m0.840s
c499,202,0,TOC13_XOR,0,10,1,0m0.178s
c499,202,0,TOC13_XOR,0,65,1,0m3.437s
c499,202,0,TOC13_XOR,0,40,1,0m0.644s
c2670,1193,0,RI,85,0,1,0m1.313s
c2670,1193,0,RI,90,0,1,0m1.451s
c2670,1193,0,RI,25,0,1,0m0.350s
c2670,1193,0,RI,155,0,1,28m29.584s
c2670,1193,0,RI,50,0,1,0m0.303s
c2670,1193,0,RI,35,0,1,0m0.137s
c2670,1193,0,RI,55,0,1,0m0.510s
c2670,1193,0,RI,120,0,1,0m3.638s
c2670,1193,0,RI,115,0,1,0m6.762s
c2670,1193,0,RI,180,0,1,34m51.791s
c2670,1193,0,RI,95,0,1,0m51.047s
c2670,1193,0,RI,45,0,1,0m0.425s
c2670,1193,0,RI,15,0,1,0m0.129s
c2670,1193,0,RI,80,0,1,0m0.836s
c2670,1193,0,RI,5,0,1,0m0.169s
c2670,1193,0,RI,170,0,1,22m40.296s
c2670,1193,0,RI,165,0,1,2m17.821s
c2670,1193,0,RI,150,0,1,7m9.677s
c2670,1193,0,RI,20,0,1,0m0.159s
